12784459|VI39-6503459-7D6|20|RENTAS|F|80|CIUDAD DE MÉXICO|BENITO JUÁREZ|CIUDAD DE MÉXICO|03100|FALLECIMIENTO|175114.07|1|0|RENTA|0|0|0
12784458|VI39-6503427-7D6|20|RENTAS|F|94|CIUDAD DE MÉXICO|GUSTAVO A. MADERO|CIUDAD DE MÉXICO|07070|FALLECIMIENTO|66519.14|1|0|RENTA|0|0|0
12784457|VI39-6503383-7D6|20|RENTAS|F|79|CIUDAD DE MÉXICO|AZCAPOTZALCO|CIUDAD DE MÉXICO|02800|FALLECIMIENTO|130384.44|1|0|RENTA|0|0|0
12784456|VI39-6500069-7D6|20|RENTAS|M|77|CIUDAD DE MÉXICO|VENUSTIANO CARRANZA|CIUDAD DE MÉXICO|15000|FALLECIMIENTO|99568.54|1|0|RENTA|0|0|0
12784455|VI39-6466509-7D6|20|RENTAS|F|93|TAMAULIPAS|MATAMOROS|HEROICA MATAMOROS|87330|FALLECIMIENTO|117175.21|1|0|RENTA|0|0|0
12784454|VI39-6465373-7D6|20|RENTAS|F|83|NUEVO LEÓN|MONTERREY|MONTERREY|64000|FALLECIMIENTO|96769.34|1|0|RENTA|0|0|0
12784453|VI39-6465187-7D6|20|RENTAS|M|85|NUEVO LEÓN|MONTERREY|MONTERREY|64720|FALLECIMIENTO|77439.35|1|0|RENTA|0|0|0
12784452|VI39-6460406-7D6|20|RENTAS|M|79|NUEVO LEÓN|MONTERREY|MONTERREY|64830|FALLECIMIENTO|233455.05|1|0|RENTA|0|0|0
12784451|VI39-6458966-7D6|20|RENTAS|M|80|BAJA CALIFORNIA|MEXICALI|MEXICALI|21218|FALLECIMIENTO|137479.45|1|0|RENTA|0|0|0
12784450|VI39-6458808-7D6|20|RENTAS|M|75|TAMAULIPAS|TAMPICO|TAMPICO|89110|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784449|VI39-6420665-7D6|20|RENTAS|M|90|JALISCO|ZAPOPAN|ZAPOPAN|45170|FALLECIMIENTO|116565.51|1|0|RENTA|0|0|0
12784448|VI39-6410203-7D6|20|RENTAS|M|92|CIUDAD DE MÉXICO|IZTAPALAPA|CIUDAD DE MÉXICO|09410|FALLECIMIENTO|138433.84|1|0|RENTA|0|0|0
12784447|VI39-6410075-7D6|20|RENTAS|M|80|VERACRUZ|XALAPA|XALAPA-ENRÍQUEZ|91070|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784446|VI39-6403326-7D6|20|RENTAS|M|83|MÉXICO|TLALNEPANTLA DE BAZ|TLALNEPANTLA DE BAZ|54040|FALLECIMIENTO|238958.81|1|0|RENTA|0|0|0
12784445|VI39-6403278-7D6|20|RENTAS|M|93|CIUDAD DE MÉXICO|ÁLVARO OBREGÓN|CIUDAD DE MÉXICO|01700|FALLECIMIENTO|93670.14|1|0|RENTA|0|0|0
12784444|VI39-6403258-7D6|20|RENTAS|M|86|CIUDAD DE MÉXICO|ÁLVARO OBREGÓN|CIUDAD DE MÉXICO|01290|FALLECIMIENTO|202674.21|1|0|RENTA|0|0|0
12784443|VI39-6403255-7D6|20|RENTAS|M|85|MÉXICO|ECATEPEC DE MORELOS|ECATEPEC DE MORELOS|55120|FALLECIMIENTO|153891.89|1|0|RENTA|0|0|0
12784442|VI39-6403216-7D6|20|RENTAS|M|82|CIUDAD DE MÉXICO|GUSTAVO A. MADERO|CIUDAD DE MÉXICO|07400|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784441|VI39-6403215-7D6|20|RENTAS|M|77|CIUDAD DE MÉXICO|COYOACÁN|CIUDAD DE MÉXICO|04970|FALLECIMIENTO|142398.8|1|0|RENTA|0|0|0
12784440|VI39-6403197-7D6|20|RENTAS|F|77|CIUDAD DE MÉXICO|GUSTAVO A. MADERO|CIUDAD DE MÉXICO|07720|FALLECIMIENTO|224448.53|1|0|RENTA|0|0|0
12784439|VI39-6403190-7D6|20|RENTAS|M|82|CIUDAD DE MÉXICO|TLALPAN|CIUDAD DE MÉXICO|14386|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784438|VI39-6400001-7D6|20|RENTAS|M|95|MICHOACÁN|MORELIA|MORELIA|58000|FALLECIMIENTO|62010.5|1|0|RENTA|0|0|0
12784437|VI39-6362997-7D6|20|RENTAS|M|81|JALISCO|ZAPOPAN|ZAPOPAN|45110|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784436|VI39-6360351-7D6|20|RENTAS|M|88|NUEVO LEÓN|MONTERREY|MONTERREY|64920|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784435|VI39-6355602-7D6|20|RENTAS|F|77|SONORA|HERMOSILLO|HERMOSILLO|83208|FALLECIMIENTO|251472.56|1|0|RENTA|0|0|0
12784434|VI39-6354132-7D6|20|RENTAS|M|79|NUEVO LEÓN|GUADALUPE|GUADALUPE|67170|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784433|VI39-6340019-7D6|20|RENTAS|F|79|CHIHUAHUA|JUÁREZ|JUÁREZ|32040|FALLECIMIENTO|132501.49|1|0|RENTA|0|0|0
12784432|VI39-6326505-7D6|20|RENTAS|M|80|GUANAJUATO|CELAYA|CELAYA|38070|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784431|VI39-6326018-7D6|20|RENTAS|M|84|GUANAJUATO|LEÓN|LEÓN DE LOS ALDAMA|37340|FALLECIMIENTO|129218.13|1|0|RENTA|0|0|0
12784430|VI39-6326017-7D6|20|RENTAS|M|79|GUANAJUATO|LEÓN|LEÓN DE LOS ALDAMA|37480|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784429|VI39-6326016-7D6|20|RENTAS|M|84|GUANAJUATO|LEÓN|LEÓN DE LOS ALDAMA|37444|FALLECIMIENTO|115359.45|1|0|RENTA|0|0|0
12784428|VI39-6320989-7D6|20|RENTAS|M|80|JALISCO|GUADALAJARA|GUADALAJARA|44660|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784427|VI39-6320585-7D6|20|RENTAS|M|76|JALISCO|ZAPOPAN|ZAPOPAN|45070|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784426|VI39-6312048-7D6|20|RENTAS|M|90|VERACRUZ|VERACRUZ|VERACRUZ|91919|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784425|VI39-6310195-7D6|20|RENTAS|M|91|CIUDAD DE MÉXICO|VENUSTIANO CARRANZA|CIUDAD DE MÉXICO|15960|FALLECIMIENTO|63819.53|1|0|RENTA|0|0|0
12784424|VI39-6304159-7D6|20|RENTAS|M|80|COAHUILA|PIEDRAS NEGRAS|PIEDRAS NEGRAS|26020|FALLECIMIENTO|389223.36|1|0|RENTA|0|0|0
12784423|VI39-6303099-7D6|20|RENTAS|F|80|CIUDAD DE MÉXICO|BENITO JUÁREZ|CIUDAD DE MÉXICO|03100|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
